X,Y,U
0.000000,0.000000,-0.000000
0.020202,0.000000,0.000000
0.040404,0.000000,0.000000
0.060606,0.000000,0.000000
0.080808,0.000000,0.000000
0.101010,0.000000,0.000000
0.121212,0.000000,0.000000
0.141414,0.000000,0.000000
0.161616,0.000000,0.000000
0.181818,0.000000,0.000000
0.202020,0.000000,0.000000
0.222222,0.000000,0.000000
0.242424,0.000000,0.000000
0.262626,0.000000,0.000000
0.282828,0.000000,0.000000
0.303030,0.000000,0.000000
0.323232,0.000000,0.000000
0.343434,0.000000,0.000000
0.363636,0.000000,0.000000
0.383838,0.000000,0.000000
0.404040,0.000000,0.000000
0.424242,0.000000,0.000000
0.444444,0.000000,0.000000
0.464646,0.000000,0.000000
0.484848,0.000000,0.000000
0.505051,0.000000,0.000000
0.525253,0.000000,0.000000
0.545455,0.000000,0.000000
0.565657,0.000000,0.000000
0.585859,0.000000,0.000000
0.606061,0.000000,0.000000
0.626263,0.000000,0.000000
0.646465,0.000000,0.000000
0.666667,0.000000,0.000000
0.686869,0.000000,0.000000
0.707071,0.000000,0.000000
0.727273,0.000000,0.000000
0.747475,0.000000,0.000000
0.767677,0.000000,0.000000
0.787879,0.000000,0.000000
0.808081,0.000000,0.000000
0.828283,0.000000,0.000000
0.848485,0.000000,0.000000
0.868687,0.000000,0.000000
0.888889,0.000000,0.000000
0.909091,0.000000,0.000000
0.929293,0.000000,0.000000
0.949495,0.000000,0.000000
0.969697,0.000000,0.000000
0.989899,0.000000,0.000000
1.010101,0.000000,0.000000
1.030303,0.000000,0.000000
1.050505,0.000000,0.000000
1.070707,0.000000,0.000000
1.090909,0.000000,0.000000
1.111111,0.000000,0.000000
1.131313,0.000000,0.000000
1.151515,0.000000,0.000000
1.171717,0.000000,0.000000
1.191919,0.000000,0.000000
1.212121,0.000000,0.000000
1.232323,0.000000,0.000000
1.252525,0.000000,0.000000
1.272727,0.000000,0.000000
1.292929,0.000000,0.000000
1.313131,0.000000,0.000000
1.333333,0.000000,0.000000
1.353535,0.000000,0.000000
1.373737,0.000000,0.000000
1.393939,0.000000,0.000000
1.414141,0.000000,0.000000
1.434343,0.000000,0.000000
1.454545,0.000000,0.000000
1.474747,0.000000,0.000000
1.494949,0.000000,0.000000
1.515152,0.000000,0.000000
1.535354,0.000000,0.000000
1.555556,0.000000,0.000000
1.575758,0.000000,0.000000
1.595960,0.000000,0.000000
1.616162,0.000000,0.000000
1.636364,0.000000,0.000000
1.656566,0.000000,0.000000
1.676768,0.000000,0.000000
1.696970,0.000000,0.000000
1.717172,0.000000,0.000000
1.737374,0.000000,0.000000
1.757576,0.000000,0.000000
1.777778,0.000000,0.000000
1.797980,0.000000,0.000000
1.818182,0.000000,0.000000
1.838384,0.000000,0.000000
1.858586,0.000000,0.000000
1.878788,0.000000,0.000000
1.898990,0.000000,0.000000
1.919192,0.000000,0.000000
1.939394,0.000000,0.000000
1.959596,0.000000,0.000000
1.979798,0.000000,0.000000
2.000000,0.000000,0.000000
0.000000,0.020202,-0.020201
0.020202,0.020202,-0.020281
0.040404,0.020202,-0.020280
0.060606,0.020202,-0.020198
0.080808,0.020202,-0.020037
0.101010,0.020202,-0.019796
0.121212,0.020202,-0.019479
0.141414,0.020202,-0.019086
0.161616,0.020202,-0.018619
0.181818,0.020202,-0.018081
0.202020,0.020202,-0.017475
0.222222,0.020202,-0.016803
0.242424,0.020202,-0.016069
0.262626,0.020202,-0.015275
0.282828,0.020202,-0.014426
0.303030,0.020202,-0.013526
0.323232,0.020202,-0.012577
0.343434,0.020202,-0.011585
0.363636,0.020202,-0.010554
0.383838,0.020202,-0.009489
0.404040,0.020202,-0.008393
0.424242,0.020202,-0.007272
0.444444,0.020202,-0.006131
0.464646,0.020202,-0.004974
0.484848,0.020202,-0.003806
0.505051,0.020202,-0.002633
0.525253,0.020202,-0.001458
0.545455,0.020202,-0.000288
0.565657,0.020202,0.000872
0.585859,0.020202,0.002019
0.606061,0.020202,0.003147
0.626263,0.020202,0.004252
0.646465,0.020202,0.005328
0.666667,0.020202,0.006372
0.686869,0.020202,0.007379
0.707071,0.020202,0.008345
0.727273,0.020202,0.009266
0.747475,0.020202,0.010138
0.767677,0.020202,0.010957
0.787879,0.020202,0.011721
0.808081,0.020202,0.012425
0.828283,0.020202,0.013068
0.848485,0.020202,0.013646
0.868687,0.020202,0.014157
0.888889,0.020202,0.014599
0.909091,0.020202,0.014970
0.929293,0.020202,0.015269
0.949495,0.020202,0.015494
0.969697,0.020202,0.015644
0.989899,0.020202,0.015720
1.010101,0.020202,0.015720
1.030303,0.020202,0.015644
1.050505,0.020202,0.015494
1.070707,0.020202,0.015269
1.090909,0.020202,0.014970
1.111111,0.020202,0.014599
1.131313,0.020202,0.014157
1.151515,0.020202,0.013646
1.171717,0.020202,0.013068
1.191919,0.020202,0.012425
1.212121,0.020202,0.011721
1.232323,0.020202,0.010957
1.252525,0.020202,0.010138
1.272727,0.020202,0.009266
1.292929,0.020202,0.008345
1.313131,0.020202,0.007379
1.333333,0.020202,0.006372
1.353535,0.020202,0.005328
1.373737,0.020202,0.004252
1.393939,0.020202,0.003147
1.414141,0.020202,0.002019
1.434343,0.020202,0.000872
1.454545,0.020202,-0.000288
1.474747,0.020202,-0.001458
1.494949,0.020202,-0.002633
1.515152,0.020202,-0.003806
1.535354,0.020202,-0.004974
1.555556,0.020202,-0.006131
1.575758,0.020202,-0.007272
1.595960,0.020202,-0.008393
1.616162,0.020202,-0.009489
1.636364,0.020202,-0.010554
1.656566,0.020202,-0.011585
1.676768,0.020202,-0.012577
1.696970,0.020202,-0.013526
1.717172,0.020202,-0.014426
1.737374,0.020202,-0.015275
1.757576,0.020202,-0.016069
1.777778,0.020202,-0.016803
1.797980,0.020202,-0.017475
1.818182,0.020202,-0.018081
1.838384,0.020202,-0.018619
1.858586,0.020202,-0.019086
1.878788,0.020202,-0.019479
1.898990,0.020202,-0.019796
1.919192,0.020202,-0.020037
1.939394,0.020202,-0.020198
1.959596,0.020202,-0.020280
1.979798,0.020202,-0.020281
2.000000,0.020202,-0.020201
0.000000,0.040404,-0.040393
0.020202,0.040404,-0.040553
0.040404,0.040404,-0.040552
0.060606,0.040404,-0.040388
0.080808,0.040404,-0.040065
0.101010,0.040404,-0.039585
0.121212,0.040404,-0.038950
0.141414,0.040404,-0.038164
0.161616,0.040404,-0.037231
0.181818,0.040404,-0.036155
0.202020,0.040404,-0.034943
0.222222,0.040404,-0.033600
0.242424,0.040404,-0.032131
0.262626,0.040404,-0.030544
0.282828,0.040404,-0.028847
0.303030,0.040404,-0.027046
0.323232,0.040404,-0.025149
0.343434,0.040404,-0.023166
0.363636,0.040404,-0.021104
0.383838,0.040404,-0.018973
0.404040,0.040404,-0.016783
0.424242,0.040404,-0.014541
0.444444,0.040404,-0.012259
0.464646,0.040404,-0.009945
0.484848,0.040404,-0.007610
0.505051,0.040404,-0.005264
0.525253,0.040404,-0.002916
0.545455,0.040404,-0.000576
0.565657,0.040404,0.001745
0.585859,0.040404,0.004038
0.606061,0.040404,0.006294
0.626263,0.040404,0.008503
0.646465,0.040404,0.010655
0.666667,0.040404,0.012743
0.686869,0.040404,0.014756
0.707071,0.040404,0.016688
0.727273,0.040404,0.018529
0.747475,0.040404,0.020272
0.767677,0.040404,0.021911
0.787879,0.040404,0.023437
0.808081,0.040404,0.024846
0.828283,0.040404,0.026131
