X,Y,U
0.000000,0.000000,-0.000000
0.020202,0.000000,-0.000000
0.040404,0.000000,-0.000000
0.060606,0.000000,-0.000000
0.080808,0.000000,-0.000000
0.101010,0.000000,-0.000000
0.121212,0.000000,-0.000000
0.141414,0.000000,-0.000000
0.161616,0.000000,-0.000000
0.181818,0.000000,-0.000000
0.202020,0.000000,-0.000000
0.222222,0.000000,-0.000000
0.242424,0.000000,-0.000000
0.262626,0.000000,-0.000000
0.282828,0.000000,-0.000000
0.303030,0.000000,-0.000000
0.323232,0.000000,-0.000000
0.343434,0.000000,-0.000000
0.363636,0.000000,-0.000000
0.383838,0.000000,-0.000000
0.404040,0.000000,-0.000000
0.424242,0.000000,-0.000000
0.444444,0.000000,-0.000000
0.464646,0.000000,-0.000000
0.484848,0.000000,-0.000000
0.505051,0.000000,0.000000
0.525253,0.000000,0.000000
0.545455,0.000000,0.000000
0.565657,0.000000,0.000000
0.585859,0.000000,0.000000
0.606061,0.000000,0.000000
0.626263,0.000000,0.000000
0.646465,0.000000,0.000000
0.666667,0.000000,0.000000
0.686869,0.000000,0.000000
0.707071,0.000000,0.000000
0.727273,0.000000,0.000000
0.747475,0.000000,0.000000
0.767677,0.000000,0.000000
0.787879,0.000000,0.000000
0.808081,0.000000,0.000000
0.828283,0.000000,0.000000
0.848485,0.000000,0.000000
0.868687,0.000000,0.000000
0.888889,0.000000,0.000000
0.909091,0.000000,0.000000
0.929293,0.000000,0.000000
0.949495,0.000000,0.000000
0.969697,0.000000,0.000000
0.989899,0.000000,0.000000
1.010101,0.000000,0.000000
1.030303,0.000000,0.000000
1.050505,0.000000,0.000000
1.070707,0.000000,0.000000
1.090909,0.000000,0.000000
1.111111,0.000000,0.000000
1.131313,0.000000,0.000000
1.151515,0.000000,0.000000
1.171717,0.000000,0.000000
1.191919,0.000000,0.000000
1.212121,0.000000,0.000000
1.232323,0.000000,0.000000
1.252525,0.000000,0.000000
1.272727,0.000000,0.000000
1.292929,0.000000,0.000000
1.313131,0.000000,0.000000
1.333333,0.000000,0.000000
1.353535,0.000000,0.000000
1.373737,0.000000,0.000000
1.393939,0.000000,0.000000
1.414141,0.000000,0.000000
1.434343,0.000000,0.000000
1.454545,0.000000,0.000000
1.474747,0.000000,0.000000
1.494949,0.000000,0.000000
1.515152,0.000000,-0.000000
1.535354,0.000000,-0.000000
1.555556,0.000000,-0.000000
1.575758,0.000000,-0.000000
1.595960,0.000000,-0.000000
1.616162,0.000000,-0.000000
1.636364,0.000000,-0.000000
1.656566,0.000000,-0.000000
1.676768,0.000000,-0.000000
1.696970,0.000000,-0.000000
1.717172,0.000000,-0.000000
1.737374,0.000000,-0.000000
1.757576,0.000000,-0.000000
1.777778,0.000000,-0.000000
1.797980,0.000000,-0.000000
1.818182,0.000000,-0.000000
1.838384,0.000000,-0.000000
1.858586,0.000000,-0.000000
1.878788,0.000000,-0.000000
1.898990,0.000000,-0.000000
1.919192,0.000000,-0.000000
1.939394,0.000000,-0.000000
1.959596,0.000000,-0.000000
1.979798,0.000000,-0.000000
2.000000,0.000000,-0.000000
0.000000,0.020202,-0.020201
0.020202,0.020202,-0.020160
0.040404,0.020202,-0.020038
0.060606,0.020202,-0.019836
0.080808,0.020202,-0.019553
0.101010,0.020202,-0.019192
0.121212,0.020202,-0.018754
0.141414,0.020202,-0.018240
0.161616,0.020202,-0.017652
0.181818,0.020202,-0.016994
0.202020,0.020202,-0.016267
0.222222,0.020202,-0.015475
0.242424,0.020202,-0.014620
0.262626,0.020202,-0.013706
0.282828,0.020202,-0.012738
0.303030,0.020202,-0.011718
0.323232,0.020202,-0.010650
0.343434,0.020202,-0.009540
0.363636,0.020202,-0.008392
0.383838,0.020202,-0.007209
0.404040,0.020202,-0.005998
0.424242,0.020202,-0.004762
0.444444,0.020202,-0.003508
0.464646,0.020202,-0.002239
0.484848,0.020202,-0.000961
0.505051,0.020202,0.000321
0.525253,0.020202,0.001601
0.545455,0.020202,0.002875
0.565657,0.020202,0.004137
0.585859,0.020202,0.005383
0.606061,0.020202,0.006607
0.626263,0.020202,0.007804
0.646465,0.020202,0.008970
0.666667,0.020202,0.010100
0.686869,0.020202,0.011190
0.707071,0.020202,0.012234
0.727273,0.020202,0.013229
0.747475,0.020202,0.014170
0.767677,0.020202,0.015055
0.787879,0.020202,0.015879
0.808081,0.020202,0.016639
0.828283,0.020202,0.017332
0.848485,0.020202,0.017955
0.868687,0.020202,0.018506
0.888889,0.020202,0.018982
0.909091,0.020202,0.019382
0.929293,0.020202,0.019704
0.949495,0.020202,0.019947
0.969697,0.020202,0.020109
0.989899,0.020202,0.020190
1.010101,0.020202,0.020190
1.030303,0.020202,0.020109
1.050505,0.020202,0.019947
1.070707,0.020202,0.019704
1.090909,0.020202,0.019382
1.111111,0.020202,0.018982
1.131313,0.020202,0.018506
1.151515,0.020202,0.017955
1.171717,0.020202,0.017332
1.191919,0.020202,0.016639
1.212121,0.020202,0.015879
1.232323,0.020202,0.015055
1.252525,0.020202,0.014170
1.272727,0.020202,0.013229
1.292929,0.020202,0.012234
1.313131,0.020202,0.011190
1.333333,0.020202,0.010100
1.353535,0.020202,0.008970
1.373737,0.020202,0.007804
1.393939,0.020202,0.006607
1.414141,0.020202,0.005383
1.434343,0.020202,0.004137
1.454545,0.020202,0.002875
1.474747,0.020202,0.001601
1.494949,0.020202,0.000321
1.515152,0.020202,-0.000961
1.535354,0.020202,-0.002239
1.555556,0.020202,-0.003508
1.575758,0.020202,-0.004762
1.595960,0.020202,-0.005998
1.616162,0.020202,-0.007209
1.636364,0.020202,-0.008392
1.656566,0.020202,-0.009540
1.676768,0.020202,-0.010650
1.696970,0.020202,-0.011718
1.717172,0.020202,-0.012738
1.737374,0.020202,-0.013706
1.757576,0.020202,-0.014620
1.777778,0.020202,-0.015475
1.797980,0.020202,-0.016267
1.818182,0.020202,-0.016994
1.838384,0.020202,-0.017652
1.858586,0.020202,-0.018240
1.878788,0.020202,-0.018754
1.898990,0.020202,-0.019192
1.919192,0.020202,-0.019553
1.939394,0.020202,-0.019836
1.959596,0.020202,-0.020038
1.979798,0.020202,-0.020160
2.000000,0.020202,-0.020201
0.000000,0.040404,-0.040393
0.020202,0.040404,-0.040312
0.040404,0.040404,-0.040068
0.060606,0.040404,-0.039663
0.080808,0.040404,-0.039098
0.101010,0.040404,-0.038376
0.121212,0.040404,-0.037500
0.141414,0.040404,-0.036472
0.161616,0.040404,-0.035297
0.181818,0.040404,-0.033981
0.202020,0.040404,-0.032527
0.222222,0.040404,-0.030943
0.242424,0.040404,-0.029234
0.262626,0.040404,-0.027407
0.282828,0.040404,-0.025470
0.303030,0.040404,-0.023430
0.323232,0.040404,-0.021296
0.343434,0.040404,-0.019076
0.363636,0.040404,-0.016780
0.383838,0.040404,-0.014416
0.404040,0.040404,-0.011994
0.424242,0.040404,-0.009523
0.444444,0.040404,-0.007014
0.464646,0.040404,-0.004477
0.484848,0.040404,-0.001922
0.505051,0.040404,0.000641
0.525253,0.040404,0.003201
0.545455,0.040404,0.005749
0.565657,0.040404,0.008273
0.585859,0.040404,0.010764
0.606061,0.040404,0.013211
0.626263,0.040404,0.015606
0.646465,0.040404,0.017937
0.666667,0.040404,0.020197
0.686869,0.040404,0.022375
0.707071,0.040404,0.024462
0.727273,0.040404,0.026452
0.747475,0.040404,0.028335
0.767677,0.040404,0.030104
